ComponentName,ExportFile,BarrelExported,ImportRefs,JSXRefs,TotalRefs,LastModified
ActiveSessionsManager,apps/web/components/admin/impersonation/ActiveSessionsManager.tsx,YES,1,0,1,2025-08-09
ImpersonationBanner,apps/web/components/admin/impersonation/ImpersonationBanner.tsx,YES,1,0,1,2025-08-10
ImpersonationConfirmDialog,apps/web/components/admin/impersonation/ImpersonationConfirmDialog.tsx,YES,1,0,1,2025-08-09
ImpersonationControlPanel,apps/web/components/admin/impersonation/ImpersonationControlPanel.tsx,YES,1,1,2,2025-08-09
UserSearchInput,apps/web/components/admin/impersonation/UserSearchInput.tsx,YES,1,0,1,2025-08-09
PromptTemplateList,apps/web/components/admin/PromptTemplateList.tsx,NO,1,0,1,2025-09-11
TemplateSeederInterface,apps/web/components/admin/TemplateSeederInterface.tsx,NO,1,0,1,2025-08-24
AnalysisWorkflow,apps/web/components/analysis/analysis-workflow.tsx,YES,2,0,2,2025-08-09
ClassificationDisplay,apps/web/components/analysis/classification-display.tsx,YES,2,0,2,2025-08-09
ConditionsEditor,apps/web/components/analysis/conditions-editor.tsx,YES,2,0,2,2025-08-09
ConfidenceIndicator,apps/web/components/analysis/confidence-indicator.tsx,YES,2,5,7,2025-08-09
AuthProvider,apps/web/components/auth/auth-provider.tsx,NO,12,1,13,2025-09-29
ChangePasswordForm,apps/web/components/auth/change-password-form.tsx,NO,2,1,3,2025-08-09
EmbeddedAuth,apps/web/components/auth/embedded-auth.tsx,NO,1,1,2,2025-08-09
GitHubOAuthButton,apps/web/components/auth/github-oauth-button.tsx,NO,3,0,3,2025-08-02
GoogleOAuthButton,apps/web/components/auth/google-oauth-button.tsx,NO,3,0,3,2025-08-01
LoginForm,apps/web/components/auth/login-form.tsx,NO,4,1,5,2025-08-01
LogoutButton,apps/web/components/auth/logout-button.tsx,NO,4,2,6,2025-08-01
PasswordResetConfirmForm,apps/web/components/auth/password-reset-confirm-form.tsx,NO,2,1,3,2025-08-01
PasswordResetForm,apps/web/components/auth/password-reset-form.tsx,NO,2,1,3,2025-08-01
PermissionTester,apps/web/components/auth/permission-tester.tsx,NO,1,1,2,2025-08-09
RegisterForm,apps/web/components/auth/register-form.tsx,NO,2,1,3,2025-08-01
CompanyDetailsView,apps/web/components/company/CompanyDetailsView.tsx,YES,2,0,2,2025-08-09
CompanyEditForm,apps/web/components/company/CompanyEditForm.tsx,YES,2,0,2,2025-08-09
CompanyManagementPage,apps/web/components/company/CompanyManagementPage.tsx,YES,2,2,4,2025-09-29
